#\delta	Number of cells	Cumulative
0.99600	1036	3747329
0.99800	1101	3748430
1.00000	1048	3749478
1.00200	1030	3750508
1.00400	1082	3751590
1.00600	992	3752582
1.00800	985	3753567
1.01000	1006	3754573
1.01200	1012	3755585
1.01400	1065	3756650
1.01600	1064	3757714
1.01800	1003	3758717
1.02000	987	3759704
1.02200	950	3760654
1.02400	955	3761609
1.02600	983	3762592
1.02800	980	3763572
1.03000	1020	3764592
1.03200	1015	3765607
1.03400	948	3766555
1.03600	1021	3767576
1.03800	1017	3768593
1.04000	957	3769550
1.04200	991	3770541
1.04400	974	3771515
1.04600	1008	3772523
1.04800	990	3773513
1.05000	983	3774496
1.05200	945	3775441
1.05400	925	3776366
1.05600	976	3777342
1.05800	940	3778282
1.06000	988	3779270
1.06200	994	3780264
1.06400	947	3781211
1.06600	988	3782199
1.06800	967	3783166
1.07000	950	3784116
1.07200	953	3785069
1.07400	972	3786041
1.07600	930	3786971
1.07800	937	3787908
1.08000	951	3788859
1.08200	1025	3789884
1.08400	928	3790812
1.08600	957	3791769
1.08800	900	3792669
1.09000	949	3793618
1.09200	951	3794569
1.09400	929	3795498
1.09600	923	3796421
1.09800	928	3797349
1.10000	898	3798247
1.10200	919	3799166
1.10400	984	3800150
1.10600	948	3801098
1.10800	935	3802033
1.11000	919	3802952
1.11200	907	3803859
1.11400	905	3804764
1.11600	912	3805676
1.11800	872	3806548
1.12000	892	3807440
1.12200	938	3808378
1.12400	920	3809298
1.12600	869	3810167
1.12800	940	3811107
1.13000	920	3812027
1.13200	933	3812960
1.13400	903	3813863
1.13600	922	3814785
1.13800	918	3815703
1.14000	892	3816595
1.14200	911	3817506
1.14400	882	3818388
1.14600	891	3819279
1.14800	841	3820120
1.15000	917	3821037
1.15200	875	3821912
1.15400	866	3822778
1.15600	860	3823638
1.15800	847	3824485
1.16000	877	3825362
1.16200	860	3826222
1.16400	888	3827110
1.16600	854	3827964
1.16800	896	3828860
1.17000	877	3829737
1.17200	860	3830597
1.17400	788	3831385
1.17600	898	3832283
1.17800	856	3833139
1.18000	827	3833966
1.18200	870	3834836
1.18400	857	3835693
1.18600	834	3836527
1.18800	916	3837443
1.19000	851	3838294
1.19200	847	3839141
1.19400	864	3840005
1.19600	831	3840836
1.19800	844	3841680
1.20000	834	3842514
1.20200	792	3843306
1.20400	840	3844146
1.20600	894	3845040
1.20800	842	3845882
1.21000	847	3846729
1.21200	827	3847556
1.21400	804	3848360
1.21600	828	3849188
1.21800	802	3849990
1.22000	846	3850836
1.22200	850	3851686
1.22400	869	3852555
1.22600	883	3853438
1.22800	769	3854207
1.23000	766	3854973
1.23200	850	3855823
1.23400	848	3856671
1.23600	825	3857496
1.23800	790	3858286
1.24000	799	3859085
1.24200	774	3859859
1.24400	791	3860650
1.24600	828	3861478
1.24800	781	3862259
1.25000	818	3863077
1.25200	828	3863905
1.25400	852	3864757
1.25600	778	3865535
1.25800	779	3866314
1.26000	814	3867128
1.26200	817	3867945
1.26400	779	3868724
1.26600	796	3869520
1.26800	768	3870288
1.27000	776	3871064
1.27200	795	3871859
1.27400	780	3872639
1.27600	764	3873403
1.27800	795	3874198
1.28000	787	3874985
1.28200	815	3875800
1.28400	791	3876591
1.28600	764	3877355
1.28800	804	3878159
1.29000	796	3878955
1.29200	788	3879743
1.29400	755	3880498
1.29600	791	3881289
1.29800	751	3882040
1.30000	722	3882762
1.30200	742	3883504
1.30400	779	3884283
1.30600	749	3885032
1.30800	764	3885796
1.31000	737	3886533
