#\delta	Number of cells	Cumulative
0.04200	3852	1579047
0.04400	3793	1582840
0.04600	3786	1586626
0.04800	3860	1590486
0.05000	3794	1594280
0.05200	3618	1597898
0.05400	3719	1601617
0.05600	3693	1605310
0.05800	3764	1609074
0.06000	3790	1612864
0.06200	3751	1616615
0.06400	3724	1620339
0.06600	3782	1624121
0.06800	3735	1627856
0.07000	3746	1631602
0.07200	3770	1635372
0.07400	3646	1639018
0.07600	3722	1642740
0.07800	3684	1646424
0.08000	3790	1650214
0.08200	3657	1653871
0.08400	3744	1657615
0.08600	3771	1661386
0.08800	3629	1665015
0.09000	3620	1668635
0.09200	3657	1672292
0.09400	3705	1675997
0.09600	3671	1679668
0.09800	3715	1683383
0.10000	3734	1687117
0.10200	3582	1690699
0.10400	3655	1694354
0.10600	3640	1697994
0.10800	3615	1701609
0.11000	3752	1705361
0.11200	3669	1709030
0.11400	3717	1712747
0.11600	3572	1716319
0.11800	3585	1719904
0.12000	3566	1723470
0.12200	3700	1727170
0.12400	3631	1730801
0.12600	3472	1734273
0.12800	3722	1737995
0.13000	3551	1741546
0.13200	3554	1745100
0.13400	3627	1748727
0.13600	3584	1752311
0.13800	3582	1755893
0.14000	3439	1759332
0.14200	3547	1762879
0.14400	3640	1766519
0.14600	3467	1769986
0.14800	3557	1773543
0.15000	3559	1777102
0.15200	3477	1780579
0.15400	3420	1783999
0.15600	3495	1787494
0.15800	3568	1791062
0.16000	3595	1794657
0.16200	3631	1798288
0.16400	3551	1801839
0.16600	3449	1805288
0.16800	3515	1808803
0.17000	3444	1812247
0.17200	3318	1815565
0.17400	3387	1818952
0.17600	3484	1822436
0.17800	3447	1825883
0.18000	3490	1829373
0.18200	3444	1832817
0.18400	3397	1836214
0.18600	3411	1839625
0.18800	3447	1843072
0.19000	3546	1846618
0.19200	3416	1850034
0.19400	3397	1853431
0.19600	3437	1856868
0.19800	3489	1860357
0.20000	3459	1863816
0.20200	3346	1867162
0.20400	3374	1870536
0.20600	3329	1873865
0.20800	3453	1877318
0.21000	3398	1880716
0.21200	3354	1884070
0.21400	3409	1887479
0.21600	3437	1890916
0.21800	3263	1894179
0.22000	3330	1897509
0.22200	3376	1900885
0.22400	3276	1904161
0.22600	3273	1907434
0.22800	3365	1910799
0.23000	3347	1914146
0.23200	3330	1917476
0.23400	3266	1920742
0.23600	3399	1924141
0.23800	3301	1927442
0.24000	3252	1930694
0.24200	3253	1933947
0.24400	3288	1937235
0.24600	3287	1940522
0.24800	3082	1943604
0.25000	3244	1946848
0.25200	3275	1950123
0.25400	3217	1953340
0.25600	3209	1956549
0.25800	3215	1959764
0.26000	3277	1963041
0.26200	3359	1966400
0.26400	3275	1969675
0.26600	3333	1973008
0.26800	3191	1976199
0.27000	3072	1979271
0.27200	3171	1982442
0.27400	3268	1985710
0.27600	3249	1988959
0.27800	3223	1992182
0.28000	3237	1995419
0.28200	3252	1998671
0.28400	3167	2001838
0.28600	3320	2005158
0.28800	3183	2008341
0.29000	3264	2011605
0.29200	3171	2014776
0.29400	3219	2017995
0.29600	3334	2021329
0.29800	3110	2024439
0.30000	3299	2027738
0.30200	3223	2030961
0.30400	3125	2034086
0.30600	3098	2037184
0.30800	3180	2040364
0.31000	3229	2043593
0.31200	3280	2046873
0.31400	3121	2049994
0.31600	3210	2053204
0.31800	3047	2056251
0.32000	3127	2059378
0.32200	3076	2062454
0.32400	3120	2065574
0.32600	3114	2068688
0.32800	3198	2071886
0.33000	3154	2075040
0.33200	3078	2078118
0.33400	3056	2081174
0.33600	3018	2084192
0.33800	3077	2087269
0.34000	3053	2090322
0.34200	3131	2093453
0.34400	3137	2096590
0.34600	3072	2099662
0.34800	3058	2102720
0.35000	3032	2105752
0.35200	3035	2108787
0.35400	3044	2111831
0.35600	3027	2114858
0.35800	2991	2117849
0.36000	3027	2120876
0.36200	2907	2123783
0.36400	2960	2126743
0.36600	3064	2129807
0.36800	3049	2132856
0.37000	3086	2135942
0.37200	2971	2138913
0.37400	3037	2141950
0.37600	2985	2144935
0.37800	2909	2147844
0.38000	3023	2150867
0.38200	2994	2153861
0.38400	2978	2156839
0.38600	2928	2159767
0.38800	2903	2162670
0.39000	2922	2165592
0.39200	2824	2168416
0.39400	2985	2171401
0.39600	2897	2174298
0.39800	2882	2177180
0.40000	2919	2180099
0.40200	2895	2182994
0.40400	2996	2185990
0.40600	2955	2188945
0.40800	2807	2191752
0.41000	2923	2194675
0.41200	2873	2197548
0.41400	2854	2200402
0.41600	2850	2203252
0.41800	2815	2206067
0.42000	2886	2208953
0.42200	2937	2211890
0.42400	2821	2214711
0.42600	2826	2217537
0.42800	2777	2220314
0.43000	2856	2223170
0.43200	2898	2226068
0.43400	2815	2228883
0.43600	2790	2231673
0.43800	2773	2234446
0.44000	2862	2237308
0.44200	2811	2240119
0.44400	2793	2242912
0.44600	2711	2245623
0.44800	2724	2248347
0.45000	2783	2251130
0.45200	2771	2253901
0.45400	2876	2256777
0.45600	2804	2259581
0.45800	2715	2262296
0.46000	2757	2265053
0.46200	2706	2267759
0.46400	2823	2270582
0.46600	2696	2273278
0.46800	2722	2276000
0.47000	2686	2278686
0.47200	2669	2281355
0.47400	2726	2284081
0.47600	2624	2286705
0.47800	2708	2289413
0.48000	2778	2292191
0.48200	2675	2294866
0.48400	2742	2297608
0.48600	2562	2300170
0.48800	2876	2303046
0.49000	2636	2305682
0.49200	2709	2308391
0.49400	2560	2310951
0.49600	2584	2313535
0.49800	2681	2316216
0.50000	2687	2318903
0.50200	2648	2321551
0.50400	2651	2324202
0.50600	2622	2326824
0.50800	2575	2329399
0.51000	2642	2332041
0.51200	2488	2334529
0.51400	2581	2337110
0.51600	2634	2339744
0.51800	2579	2342323
0.52000	2530	2344853
0.52200	2621	2347474
0.52400	2553	2350027
